+,107.172.210.107,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,1,2016-12-05 04:54:10,Unknow
=,91.200.12.106,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,4927,2016-06-12 00:37:01,Unknow
+,146.185.200.15,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,26,2016-06-19 04:33:50,RU
=,91.200.12.7,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,5218,2016-06-12 00:37:01,UA
=,151.249.128.184,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,3,2016-09-23 04:20:37,Unknow
+,185.129.62.63,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,97,2016-06-12 09:39:51,Unknow
+,192.168.20.158,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,1,2016-12-05 04:54:10,Unknow
=,120.52.73.97,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,29,2016-09-07 02:36:19,Unknow
+,212.117.180.130,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,10,2016-08-02 10:10:58,Unknow
+,191.96.249.110,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,3,2016-09-10 00:39:42,Unknow
+,94.242.212.87,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,1,2016-12-05 04:54:10,Unknow
=,91.200.12.143,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,4961,2016-06-12 02:38:44,UA
+,163.172.164.165,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,11,2016-08-31 08:52:10,Unknow
+,109.95.51.74,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,1,2016-12-05 04:54:10,Unknow
+,185.145.38.210,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,5,2016-08-21 12:33:03,Unknow
+,107.173.192.107,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,1,2016-12-05 04:54:10,US
+,23.81.249.140,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,15,2016-07-08 01:24:36,Unknow
+,185.158.149.234,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,3,2016-08-26 03:42:33,Unknow
+,37.21.191.99,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,1,2016-12-05 04:54:10,Unknow
=,46.161.62.75,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,22,2016-07-17 11:57:07,RU
+,94.242.246.150,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,1,2016-12-05 04:54:10,Unknow
+,104.129.40.145,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,4,2016-09-09 12:34:14,Unknow
+,204.44.77.52,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,1,2016-12-05 04:54:10,Unknow
=,178.168.52.171,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,1099,2016-06-13 07:57:18,Unknow
+,5.101.222.100,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,3,2016-09-07 02:36:19,Unknow
=,46.4.81.200,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,13,2016-09-20 12:22:13,Unknow
=,62.109.29.51,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,1057,2016-06-12 03:39:19,Unknow
+,188.68.204.110,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,1,2016-12-05 04:54:10,Unknow
=,195.238.108.87,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,29,2016-07-15 11:17:23,Unknow
+,46.148.30.47,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,17,2016-07-12 11:11:00,Unknow
=,199.168.97.26,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,2,2016-09-24 03:47:28,US
+,94.41.48.185,2016-12-05 04:54:10,2016-12-05 04:54:10,botnet,[],botscout.com,65,1,2016-12-05 04:54:10,Unknow
=,109.236.83.133,2016-12-05 05:01:09,2016-12-05 05:01:09,bot,sip,blocklist.de,75,6,2016-09-18 10:20:04,Unknow
+,119.29.182.108,2016-12-05 05:01:09,2016-12-05 05:01:09,bot,sip,blocklist.de,75,1,2016-12-05 05:01:09,CN
